Date,close,high,low,open,volume,symbol
2022-12-15,3036.660400390625,3066.342046250861,3023.1773546255877,3047.7182266653713,799124,ASIANPAINT
2022-12-16,2964.201416015625,3023.4680810829077,2958.7695974839494,3021.528095147019,1192821,ASIANPAINT
2022-12-19,2988.5,2995.3384982738316,2949.74882553456,2970.1186793116817,655594,ASIANPAINT
2022-12-20,2989.6640625,2995.9690174898506,2927.439101441437,2982.7772537537617,739257,ASIANPAINT
2022-12-21,2977.5390625,3019.0548122815458,2958.527340864418,2992.4285504998456,616324,ASIANPAINT
2022-12-22,2995.8720703125,3000.6734885284222,2946.887421477625,2981.758624126837,663202,ASIANPAINT
2022-12-23,2966.1416015625,2994.2230893260303,2944.898848860829,2986.5600022747562,1230858,ASIANPAINT
2022-12-26,2964.347412109375,2979.7216604039577,2937.915100566913,2966.1417572261794,536884,ASIANPAINT
2022-12-27,3019.200439453125,3035.108230627623,2964.5897837858256,2968.178710680897,729041,ASIANPAINT
2022-12-28,3029.967529296875,3049.4644861704974,3011.8287049104415,3016.630123598801,972274,ASIANPAINT
2022-12-29,3021.673828125,3031.228354624663,2999.7521267531833,3007.9485208611454,596265,ASIANPAINT
2022-12-30,2995.24169921875,3036.805999673625,2979.139955307561,3036.805999673625,836220,ASIANPAINT
2023-01-02,2955.8115234375,2995.241648886434,2930.349204136414,2995.241648886434,1015990,ASIANPAINT
2023-01-03,2937.38134765625,2968.1300788686267,2934.2288703575186,2955.5687166873918,860367,ASIANPAINT
2023-01-04,2926.323486328125,2958.4786596572085,2911.482546016741,2943.928764609714,836382,ASIANPAINT
2023-01-05,2914.19873046875,2955.180937055911,2905.5171031718905,2948.342438652981,1113920,ASIANPAINT
2023-01-06,2889.027099609375,2932.7738792884247,2863.419378752912,2919.6789735929083,1045526,ASIANPAINT
2023-01-09,2894.604736328125,2927.0995042990075,2862.4495606589435,2903.480315041837,808263,ASIANPAINT
2023-01-10,2871.51904296875,2895.429277114177,2863.6134574599964,2894.6046882892815,864325,ASIANPAINT
2023-01-11,2852.167236328125,2885.6319938173656,2846.9293690122067,2885.6319938173656,890426,ASIANPAINT
2023-01-12,2828.451171875,2851.634147736622,2809.099857992448,2850.8095589225845,1558620,ASIANPAINT
2023-01-13,2821.85498046875,2837.2294639136117,2785.5773377756973,2837.2294639136117,1507864,ASIANPAINT
2023-01-16,2828.54833984375,2841.691793308479,2809.0999314224437,2837.229730459478,644073,ASIANPAINT
2023-01-17,2852.652587890625,2856.4842500535897,2823.7952934202785,2837.2297924626137,716489,ASIANPAINT
2023-01-18,2856.871826171875,2871.179222636024,2841.4490325058896,2859.490759856611,893808,ASIANPAINT
2023-01-19,2780.145263671875,2884.3711980287576,2758.272111591653,2866.2321399895136,2379947,ASIANPAINT
2023-01-20,2704.14697265625,2762.5405133923978,2697.550971820315,2762.5405133923978,3171005,ASIANPAINT
2023-01-23,2700.89697265625,2715.980411231565,2684.795230878482,2715.980411231565,1402260,ASIANPAINT
2023-01-24,2726.262451171875,2742.2673358517864,2700.8969918479224,2711.130465475897,1061471,ASIANPAINT
2023-01-25,2691.730712890625,2726.6504626794763,2684.0678625239552,2726.5533686486237,857953,ASIANPAINT
